t_index,Freedom_of_expression,Freedom_of_association,Suffrage,Clean_elections,Elected_officials,Individual_liberty,Judicial_constraints,Legislative_constraints,Civil_participation,Direct_vote,Local_government,Regional_government,Deliberative,Equal_access,Equal_distribution,Equal_protection
2,0.07140618021758323,0.06817403930928317,0.07740171723448015,0.061101070388013,0.0774017172344945,0.07103650961598126,0.0692680351803934,0.06622684430919179,0.07509708110437685,0.0,0.07616824346828036,0.0767837419235278,0.06501481081854332,0.056582590341645096,0.05272914584851329,0.03792684144471272
3,0.008928826908031536,0.06998145308306351,0.08121258476288401,0.047885583484038756,0.08121258476287087,0.07453398664341984,0.07267844150601702,0.06948751783745923,0.07879448005169486,0.0,0.07991838101244858,0.08056418348613525,0.0668227103257029,0.05936842977657409,0.01513697508564865,0.03979416653397967
4,-0.004375527137001797,0.07266678419735215,0.08470900054099631,0.04414746163238648,0.08470900054100662,0.07011199504558643,0.07580743992819028,0.07247913858843924,0.08218679005129902,0.0,0.08335907790915509,0.08403268388147939,0.33976530929229826,0.06192439712041564,0.25386521486431735,0.048941805936004
5,0.01643911200113834,0.0767333424679021,0.08851778594377134,0.05608979033522568,0.08851778594375151,0.07142232595822841,0.07921598292520844,0.07573803059844761,0.0858821688680647,0.0,0.08710716650713385,0.08781105994102233,0.2857044064789675,0.06470871446971965,0.22447434216672937,0.08886448368480453
6,0.028411042005218715,0.07661273673429626,0.0882403673894652,0.05750140521084618,0.08824036738946762,0.0729084470172698,0.07896771662205698,0.08070764158755231,0.08561301044963382,0.0,0.08683416889523066,0.08753585629564645,0.27060801204603274,0.0645059145702334,0.20465889138264148,0.10208665998162297
7,0.038423402760339224,0.07637398956687175,0.087792142971168,0.059227971033606594,0.08779214297114712,0.07284294470445672,0.07856659341908548,0.11598008508275495,0.08517813191399934,0.0,0.0863930873806701,0.08709121050143949,0.27804454954484265,0.06417825131546184,0.18886741901596793,0.028844435664890766
8,0.0480677902721211,0.07713430809700121,0.08849338972302807,0.06629589768522816,0.08849338972296251,0.07300020686857091,0.07919415035636815,0.13390099397705707,0.08585849904436005,0.0,0.08708315906503164,0.08778685849992128,0.2686177367566146,0.06469088022176712,0.1731412696682374,0.05027086700163872
9,0.05529698760187888,0.07677357717852251,0.08794969213498598,0.07441754128544881,0.08794969213480622,0.07284190325612648,0.07870758668751122,0.13873560526778547,0.08533099005111477,0.0,0.0865481258404795,0.0872475017920334,0.2686534003154752,0.0642934236935402,0.16292539332320352,0.06117018609850688
10,0.06120352227240812,0.07626481028328773,0.08724431064136531,0.06953813628909163,0.08724431064139059,0.07264725675015908,0.07807632950247491,0.13431587605041914,0.08464661129139987,0.0,0.08585398530642913,0.08654775206553578,0.26272130430495494,0.06377777218705036,0.15028378959007266,0.06949266139797969
11,0.06401516107741298,0.07577790278799998,0.08656996721562825,0.05845040781908384,0.08656996721568104,0.07249020684454699,0.07057530691705856,0.12498958521913274,0.08399234644180469,0.0,0.08519038821773871,0.085878792597866,0.2555593808498813,0.06328481028435036,0.0554955177855017,0.04449398042357092
12,0.05989566623120661,0.07340419894022851,0.08813067841603246,0.08081169146605437,0.08813067841611327,0.07280715914025608,0.0860317950676951,0.1315236085714319,0.08550658746608374,0.0,0.0867262279257085,0.08742704308085328,0.28015823703906656,0.06442572918922301,0.2982811498956079,0.3191555587102422
13,0.061915514209358244,0.07822162524556434,0.097682210264607,0.09202485036289015,0.09768221026455681,0.07706263373879346,0.08912065281386009,0.14834111470893407,0.09477372245410406,0.0,0.09612554656234212,0.09690231549723606,0.24822645926191564,0.0714081377586813,0.29266902273356993,0.2853941371067297
14,0.00764849027190081,0.08706289809757511,0.09941121604019704,-0.02549364305027186,0.09941121604033125,0.10337990729201768,0.08932478836835095,0.1433258120135545,0.09645124708276483,0.0,0.09782699890290657,0.09861751689167945,0.2419635261133454,0.07267208420770363,0.28606209236316926,0.24846700072128364
15,0.014598353263874184,0.08879046470148891,0.10024317760933898,0.25631396477152263,0.10024317760947789,0.1508301412112478,0.08786729964286476,0.14506275249018097,0.0972584369944766,0.0,0.0986457023293497,0.09944283607939645,0.25091910887135316,0.07328026891156288,0.2782525942074355,0.21047043651073255
16,0.028536793481732516,0.0886942196580975,0.09980696162615557,0.29113973811923993,0.09980696162623962,0.12980728578126854,0.08708561710633932,0.1340837120186209,0.09683520934403195,0.0,0.09821643788475924,0.0990101028450352,0.14226804706550586,0.07296138412323067,0.26664166913914145,0.167876952944009
17,0.04139740974230605,0.08525531591919148,0.10008305791522086,0.340194605266634,0.10008305791506134,0.1269705311922901,0.08436503441144318,0.14360445110508774,0.0971030848666486,0.0,0.09848813430443532,0.0992839947796088,0.22380708543280625,0.07316321741227018,0.24610917948675284,0.300969471373067
18,0.04815573343104192,0.08265971428242636,0.09926164717310962,0.48307678228811524,0.09926164717289133,0.11336875199170622,0.08012066074411915,0.1572411797879014,0.09630613162819876,0.0,0.09767981356389092,0.09846914218193774,0.24629188175626154,0.07256274562446233,0.22370684590418077,0.18704590679619137
19,0.07029106274881752,0.08222990700886665,0.10069494754251286,0.657073177555518,0.10069494754248148,0.1278032013350305,0.08008596361462669,0.1528417589752231,0.09769675547956197,0.0,0.09909027285789186,0.09989099908031933,0.18591277080564458,0.07361052402727727,0.1724192864713776,0.19267289633351048
20,0.07809858907324964,0.08213697093554818,0.1019156975642803,0.6880475609586331,0.10191569756432158,0.129826422500503,0.08074942164909056,0.14141991870361265,0.0988811576710675,0.0,0.10029156900828323,0.10110200263510911,0.2572623271013511,0.09710065102417134,0.15389122970707914,0.17272801309207317
21,0.08016377091514225,0.08167436941979658,0.10090833843642116,0.6736846717093778,0.10090833843639671,0.11440746113646301,0.08063893151818316,0.13054902163596943,0.09770755111945616,0.0,0.09930026315524157,0.10010268626236953,0.2394398272915577,0.16301020559754287,0.11966862838728787,0.1762299109262053
22,0.0814105102021824,0.08360984950725797,0.1026268506392746,0.6484936234217796,0.10262685063927252,0.10672994403209621,0.07923514619783734,0.11921516101544341,0.09632886188224812,0.0,0.10099138914876875,0.10180747786468344,0.24479459289527042,0.16909815438602935,0.12248511096349558,0.1706291179851384
23,0.09538268768872467,0.08275308679125093,0.10213682404515927,0.6118408818710087,0.10213682404506663,0.09830640774803436,0.07812272288869575,0.10856606712394275,0.09503062791953636,0.0,0.10050917161658307,0.10132136364295816,0.2393039755594944,0.1604043983963174,0.15604902510543875,0.1554724950001884
24,0.08124136392199502,0.08360002265450796,0.10129077890589051,0.5660361769434189,0.10129077890582773,0.111777186152916,0.0815204185945994,0.09990756497380077,0.09382420315755677,0.0,0.09967660905209717,0.10048207332584254,0.2330211347287942,0.1541422161620781,0.1840161371458872,0.1468797857276473
