t_index,year_approx,Freedom_of_expression,Freedom_of_association,Suffrage,Clean_elections,Elected_officials,Individual_liberty,Judicial_constraints,Legislative_constraints,Civil_participation,Direct_vote,Local_government,Regional_government,Deliberative,Equal_access,Equal_distribution,Equal_protection
2,1991,0.9190884094634708,0.894509919475411,0.995930249395234,1.1268069913070389,0.9676737822476423,0.9743901254900695,0.9265995455709499,0.8333577484249314,0.8902118240884545,0.0,0.9973580671737917,0.999659874149921,0.9362476145165064,0.9520299654106773,0.9912473456453521,0.9967738979624792
3,1992,0.8985043625541336,0.8884462912106859,0.9959385657921178,1.1680478084753063,0.9676393198216273,0.9893476036013137,0.9237801002228332,0.8320932142816759,0.8901704635672604,0.0,0.9973726415785882,0.9996594140029172,0.9356262628739906,0.9514668980799351,0.9911788574826287,0.9967366113457393
4,1993,0.9049537149602539,0.8934903535872137,0.9959419502473009,1.093763032628828,0.9675507301558158,0.9788904395443975,0.9227746837776349,0.8310341762206774,0.8897715621464174,0.0,0.9973774173000649,0.99966044755918,0.935147671923411,0.9512799028055942,0.9911591507489208,0.996724867937188
5,1994,0.9166359533161598,0.904225489401067,0.9959360596978983,1.0608414346105348,0.9671498970253057,0.9822026149444447,1.0172257237537414,1.0161442014550477,0.9417908480281987,0.0,0.9973218568078541,0.9996533845705194,0.9298404063322349,0.9544587837589412,1.0110925489349722,0.9967026994144309
6,1995,0.9097761128851557,0.908127926339836,0.9959271207565606,1.0472828752732544,0.9667271393771902,0.9824376282856081,1.0349643925825067,0.9567063977066532,0.9849321514044884,0.0,0.9972339111816924,0.9996428831774276,0.9471074157004649,0.9572608319426563,1.037145467346586,1.0079576960818721
7,1996,0.9016407200077664,0.9063889680576389,0.9959200182243423,1.0653423638182125,0.9663550078594024,0.9764157524352216,1.0038396608774676,0.9296351067997215,0.9642996531770242,0.0,0.9971896006927653,0.9996373802461196,0.9422909952538648,0.9553547154204798,1.0266962883418407,1.0060004911166194
8,1997,0.8929716608412255,0.91292658592248,0.9959050644590793,1.0881253959890116,0.9658228640789013,0.9715047642547893,0.9810304849640078,1.137200580450356,0.9781063841721119,0.0,0.9971283018099308,0.9996295123727236,0.9359088535294846,0.9537939340061226,1.0190329443865214,1.0043568780148762
9,1998,0.8858922092505134,0.9273389349070548,0.9958767026077638,1.0859903237316002,0.9650695427220808,0.9670798588548075,0.965172428810056,1.0674195040962862,0.9627122931726938,0.0,0.9970623069534931,0.9996248495950611,0.9312447888779746,0.952480359038907,1.0130245694534292,1.0029199203053756
10,1999,0.8796571129291894,0.9264082256511614,0.9958519420967726,1.0579156315216673,0.9644347049249562,0.9635904416477534,0.9533273700097753,1.016435960446137,0.9669040250605134,0.0,0.9970007960590713,0.9996200293698689,0.926869591461697,0.951341773536,1.0081411428300766,1.0055180419720071
11,2000,0.8947879715771783,0.929821690861151,0.9958233886599108,1.0453423142023899,0.9635458745059211,0.9603184874504213,0.9942876679521576,1.1101651410433513,0.9941628388539415,0.0,0.9968846471903751,0.9996075687802395,0.9322694053093821,0.9498940596659361,1.0258806591204503,1.013490113229599
12,2001,0.8881385766972371,0.9302727456378622,0.9957947707108474,1.0339158590798119,0.9626947357184887,0.9609043283461189,0.977430768035353,1.032300789066178,0.9609893479742235,0.0,0.9968101872932003,0.999600494434724,0.9602544711318143,0.924825166476002,1.0196802953913386,1.014256629929917
13,2002,0.8880051044656779,0.9250245528361822,0.9957708949564814,1.0218570612734135,0.9619398589297748,0.9581829849349917,0.9646259452182804,1.0035295406009204,0.9506288917059326,0.0,0.9967326626257075,0.9995920961406491,0.9520759533663766,0.9233757542428722,1.0144019261194896,1.0115714101417674
14,2003,0.8828793544552908,0.9206136810620961,0.9957502119637142,1.0185758855262546,0.9612857354936428,0.9557938029381842,0.9547886455794508,0.9807722397485694,0.942548563942031,0.0,0.9966642754361428,0.9995845365031026,0.9450666020837033,0.9305593713544029,1.009860651150667,1.0089952289974995
15,2004,0.8784094372238782,0.9169960216888299,0.995732527132752,1.0166399140977507,0.9607247326961139,0.9536997083425627,0.9469467594219629,0.9688139566312503,0.9379253175781805,0.0,0.9966050429231607,0.9995778494519046,0.938967306506754,0.931257644111325,1.0059832972717744,1.0065959827688513
16,2005,0.8745799604104982,0.913514126141221,0.9957185236425636,1.009789649356527,0.9602792689774047,0.9519738142600543,0.9407708435801077,0.9600990530133638,0.9328502663181257,0.0,0.9965574611127681,0.999572253310863,0.9377951258604059,0.9323341021316973,1.0027522990221496,1.004454689395364
