t_index,Freedom_of_expression,Freedom_of_association,Suffrage,Clean_elections,Elected_officials,Individual_liberty,Judicial_constraints,Legislative_constraints,Civil_participation,Direct_vote,Local_government,Regional_government,Deliberative,Equal_access,Equal_distribution,Equal_protection
2,0.008221217406791543,0.009803149663367082,0.24151637505184329,0.02773984628928143,0.24151637505186938,0.006177505841076752,0.05096599304517026,0.021297396984765526,0.011116515710864583,0.0,0.03259577452589673,6.158667563800903e-05,0.03776060220681282,0.11684658831550786,0.12223433560981742,0.12420172800178607
3,0.004155838205827705,0.03999280654883639,0.2433818876102267,0.027296960156792376,0.2433818876099781,0.021531538052312813,0.05620042784004126,0.09652458593098406,0.013781392482177595,-6.079769843577568e-06,0.08236691681789217,0.005300672197007712,0.053831366809702554,0.12202972042276024,0.1201669572561355,0.1312099378401963
4,0.048055797144755795,0.03256248996706005,0.2516242532779377,0.024273626132509687,0.2516242532779183,0.02600694604254777,0.056252252996734045,-0.042840123209051104,0.013340742781707462,2.266533507496865e-06,-0.16819783831201168,0.0625857441717651,0.05402634298796868,0.1201410197057952,0.12847275261256,0.13424562890559444
5,0.046432630529462865,0.031121562331469038,0.25162432032203885,0.024217472724534343,0.2516243203219869,0.027729129586661815,0.05643314601045958,-0.36402385981510227,0.014339627831936793,0.0004322561253164881,-0.16634226926991422,0.07595376216833907,0.03782126395867184,0.12010364631926579,0.1282201608123505,0.13373905299515848
6,0.04010554274390426,0.023783154505697724,0.251778403789342,0.024146556507970554,0.2517784037895014,0.027677322862207584,0.056292180040051445,-0.18038051824676854,0.013601348002655346,-0.23872391875988985,-0.16106880873187704,0.04039077443276382,0.15649212289916062,0.1202793612497952,0.12827811230358957,0.139225522188326
7,0.040190575754778565,0.005100715344302225,0.2521206337683656,0.025720054423378255,0.2521206337684855,0.030591309668815795,0.05625100963600831,-0.1388750536840322,0.01353880264572787,-0.07800064327819024,-0.15453276204170927,0.03190556521343358,0.405180239064169,0.12078330709137353,0.13944397285071752,0.14225124263673053
8,0.044979630355316186,-0.023120687577862658,0.27552556671811446,0.29567384008483516,0.2755255667180931,0.019071022076736114,0.06540777418700519,-0.14014230857181212,0.015823643952162982,-0.11087437471029706,-0.13868991609819878,0.031015145214405973,0.3807944605604378,0.1293540202348474,0.023867527914180297,0.15953486854114504
9,0.04632751517974388,0.19426578709893658,0.28100743323883687,0.6200791131644161,0.28100743323900534,-0.03686474480706829,0.07078038781825403,-0.12156027558928573,-0.04306872909219912,0.004554616819977881,-0.13914318798792646,0.031718147759933014,0.35902229469630237,0.13077626840361625,-0.43525240380095254,0.14992426346817897
10,0.028652235674487936,0.1424175534023143,0.28008677897725687,0.5784267312799364,0.2800867789772458,-0.04894838785035263,0.07211878799949455,-0.12013787743572804,0.26691696149972155,-0.004872609435418169,-0.11636025743403941,0.0424999009109276,0.3384677805491336,0.13138716033420494,-0.3332980282270034,0.15152333563724762
11,0.027454656928564816,0.13753904482881116,0.28702234200426435,0.5505176192244586,0.2870223420043549,0.05754063060685782,0.08707362513973611,-0.09720678391028098,0.33534852592416886,-0.0006609463875646281,-0.14759343075825523,0.03787821138812312,0.3012645447499282,0.13146085025949283,-0.31863217189990145,0.12709465123755204
