t_index,year_approx,Freedom_of_expression,Freedom_of_association,Suffrage,Clean_elections,Elected_officials,Individual_liberty,Judicial_constraints,Legislative_constraints,Civil_participation,Direct_vote,Local_government,Regional_government,Deliberative,Equal_access,Equal_distribution,Equal_protection
2,1991,0.8456660619910669,0.8911951690102622,0.99553779283161,0.9945615072575295,0.9519468343019896,0.9573321591809787,0.9267116156366038,0.9434413245985787,0.9332285537834828,0.0,0.9954999102479375,0.9994488212143747,0.9091233416872131,0.9610845397780223,1.0263518392092512,0.9981366064730137
3,1992,0.8550466182638661,0.8904937382868067,0.9955380172154523,0.98818353596427,0.951898325180998,0.9573027484278481,0.9266988508702845,0.9433503883639215,0.9331182474236906,0.0,0.9955001366286464,0.9994488110067256,0.9081559503453445,0.9610909805339675,1.0074863300058317,0.9981365386760114
4,1993,0.8535133623336822,0.8900603694870062,0.995538173251514,0.985554231524604,0.9518801983723313,0.9583076553235892,0.9265360145686431,0.9429965751343707,0.9327158571835313,0.0,0.9954847720913717,0.9994471881165236,0.9286356305268677,0.9609212478898125,1.0116417707946905,0.9960906431789752
5,1994,0.8534416370134789,0.8898254738926166,0.995538253938968,0.9844791090745659,0.9518696724964437,0.9583116121733742,0.9264544570451133,0.9428188038652067,0.9325121215328341,0.0,0.9954768596555283,0.9994463249394604,0.9233221491265207,0.9608634326179656,1.0054874361243908,0.9889465703958367
6,1995,0.85338493156642,0.8896829381521298,0.9955383156889723,0.983802323457137,0.9518615132192526,0.9580681835141728,0.9263398137042856,0.9453365710127184,0.9323958762625809,0.0,0.9954716788206385,0.9994458922791976,0.9180909972173106,0.9608255171220269,1.0016327025108966,0.9906914765930875
7,1996,0.853331921845639,0.8895823503516473,0.9955383603772698,0.9833347506774365,0.9518554821119497,0.9578772859630859,0.9262533716989393,0.9449829089457751,0.9323093195021682,0.0,0.9954679600597017,0.9994455800182261,0.9158422589155157,0.9607831941960542,0.9989249102111848,0.9954397349175289
8,1997,0.8533138457618397,0.8895178111313081,0.9955384362112152,0.9823300097428643,0.9518530239992682,0.9577344790429848,0.9262059475855579,0.9446972825499632,0.9322613169349356,0.0,0.9954652019073101,0.9994454173771289,0.9130716663968006,0.9607504269758591,0.9969065441504392,0.9962113652250503
9,1998,0.8532944066026863,0.8894697572966873,0.995538484245503,0.9823555681073652,0.9518506124925479,0.9576152030576038,0.9261655052492312,0.944437535283501,0.9322251294950323,0.0,0.995463080261496,0.999445300327079,0.9117551123578187,0.9607248182760255,0.9953607438118827,0.9968186648927418
10,1999,0.8532730898799835,0.8894331798975806,0.9955384844900069,0.9828359751630683,0.9518467844410323,0.957511136612068,0.9261229779720277,0.9441981469229092,0.9321983318491505,0.0,0.9954614101226104,0.9994452206964256,0.910732101405276,0.9607047753252896,0.9941711356599185,0.9972858748924571
11,2000,0.8538948583023255,0.8894247232845107,0.9955385293438158,0.9815301766735847,0.9518500770262148,0.9574887983463662,0.9278307318050109,0.9439780573655474,0.9322360228141527,0.0,0.995469316078942,0.9994451380936006,0.9075872388581601,0.9608375207797978,0.9866690692914786,0.9870892647869444
12,2001,0.8525250029870816,0.8888787295066076,0.9955402490900925,0.968498492889489,0.9519353665848513,0.9571159837384502,0.9268372393379356,0.9451636197865642,0.9324783018115299,0.0,0.9954840333374806,0.9994458937090896,0.8981480004633402,0.9609935876486594,0.984020404436296,0.991274153769922
13,2002,0.8514994769436267,0.8896375076256802,0.9955409492523329,0.9706862811714093,0.9520111316793809,0.9565716033764639,0.9270469642005083,0.9452272297969675,0.9327198136657715,0.0,0.995496414800497,0.999446677113007,0.8980378401687567,0.9611499500718833,0.9841650093172706,0.9921561459753369
14,2003,0.853170794012334,0.8900230313545872,0.9955407369749518,0.9814841313245003,0.9520370511244575,0.9547026554665783,0.9270720619320367,0.945196535825797,0.9329106254194978,0.0,0.9955058674702109,0.999447704110742,0.897858112524767,0.9613253270183395,0.9846484639601586,0.99308782457183
15,2004,0.8541713094703625,0.890001421476506,0.9955407157714975,0.9821763118935942,0.9520529926056869,0.9548218499041483,0.9270739203718011,0.9451332642019704,0.9330633220719701,0.0,0.9955140796536224,0.9994485205688513,0.8980490982422321,0.9614783525835793,0.9853760696754729,0.9940184995761504
16,2005,0.8544144722439861,0.8897063916188226,0.9955411673266428,0.9822678112186681,0.9520694049377378,0.9560898253889857,0.9270455720742896,0.9450036550931366,0.9331330656057173,0.0,0.9955216872126154,0.9994488757323506,0.9022780520318002,0.9616100151638631,0.9862371078789675,0.9893348019223673
17,2006,0.8545663644029171,0.8899229485133406,0.9955412113561861,0.9845307137333833,0.9520737750408093,0.9556121080681534,0.9269524014241609,0.9461301579991208,0.9331694920456317,0.0,0.9955271818398852,0.9994491849018345,0.9030893104560419,0.9617304444739223,0.9871292861991579,0.9903168396252358
18,2007,0.8547245709272933,0.8904536863601112,0.9955399097725103,0.9947922146858703,0.9520212594266816,0.9564356741099899,0.9272020191040787,0.9459222489499665,0.9331579063894121,0.0,0.9955279698523579,0.9994492289305761,0.9037301725058807,0.9617837419080763,0.988575495967717,0.9961689876517865
19,2008,0.8548826874847808,0.8901846013848417,0.9955389412338956,0.9944346867553515,0.9519613965275489,0.9577680750250732,0.9268850270484889,0.9456040614492572,0.933029412162969,0.0,0.9955239927164974,0.999448792281339,0.9095422450956445,0.9617500226986482,0.9921506189750969,0.9970598338241804
20,2009,0.8547553810353347,0.8901842007889487,0.9955378040075522,0.993789325839205,0.9518906605801951,0.9592296454088589,0.9265346788255562,0.945047907450447,0.9328354582298879,0.0,0.9955182580405398,0.9994479460788479,0.9131725694952293,0.9580817366969215,0.9934051318628183,0.9987780245139171
21,2010,0.8546130775652381,0.8899820696513883,0.9955368788618255,0.9920566517494043,0.9518209844538004,0.9591145236727153,0.9269255538688639,0.9446856855054533,0.9329841045641221,0.0,0.9955055198954719,0.9994470821611325,0.9126833242460143,0.9579500019698336,0.9979001904888541,1.0051911307997945
22,2011,0.8536055559919885,0.8898157065917076,0.9955361040792475,0.9898763879852039,0.951769062638504,0.9589059393016774,0.926656528716329,0.944374139695727,0.9328228325986182,0.0,0.9954939057639314,0.9994462973111595,0.9123986660083832,0.9579560617142079,0.9975056786662422,1.0046607190387296
23,2012,0.8529073527446182,0.8898669620726567,0.9955352271818118,0.9883728000577028,0.9517274919674472,0.9580884899795707,0.9264095089428075,0.9441147002141185,0.9326763536670889,0.0,0.9954819030994212,0.9994456410636277,0.9118947130762602,0.9580716956548815,0.9976686711118903,1.0038118650486387
24,2013,0.8534732912958495,0.8899247105585592,0.9955342733928599,0.9876013687318511,0.9516853967292401,0.9568778897761985,0.9272656027769007,0.9436854825279746,0.9325302848422182,0.0,0.9954702462627224,0.9994450687469226,0.9112600264445713,0.9582821756039721,0.9967863474946456,1.0038118241373066
