t_index,year_approx,Freedom_of_expression,Freedom_of_association,Suffrage,Clean_elections,Elected_officials,Individual_liberty,Judicial_constraints,Legislative_constraints,Civil_participation,Direct_vote,Local_government,Regional_government,Deliberative,Equal_access,Equal_distribution,Equal_protection
2,1991,13.884349972974045,4.236723637570084,0.9978384345747903,0.9269009492324354,0.9728681881319357,13.165863149339016,1.4576370227557005,4.125219098205703,1.8133431603146724,0.0,1.6044112735962341,2.3333620390768037,2.154819003719938,0.7226377855047118,1.1583782054584861,0.848626544380693
3,1992,0.95288951944146,1.2827145064123624,0.9973596730729994,1.029961391280784,0.9773893866777154,1.1229823736951068,1.1735701017593887,1.4908925489277893,1.1609439606748264,0.463724803676608,1.8897515636707916,2.110989707618957,1.246293877533953,0.8190644880499868,1.0672627017065592,0.8952478227847037
4,1993,0.8997352210400864,1.0410757578371426,0.9972439545457735,1.0028230841295038,0.9739438459620078,1.0559753846816773,1.053180001788686,1.0161721128029289,1.0538847533316713,0.5385365506224187,1.2123151859942916,2.112323893641946,1.0715108396015456,0.8600450599038545,1.038106194934418,0.9270323727696541
5,1994,0.8964196352928442,0.9640328711409932,0.9970232558311596,0.9921285092293015,0.9715933148747616,1.0165875176924848,1.003768203498159,1.0598456039992343,0.9747406083647977,2.144859396663608,1.1112111012208217,1.222883428803181,0.9766758088170386,0.8855937234622799,1.0211497199298005,0.9527764966749616
6,1995,0.8960471727856466,0.9430585586033009,0.9968445753719795,0.985166931303829,0.9698096785374161,1.003424812725095,0.9771002480630256,1.0226080373304454,0.9380376324604104,0.22893511990506268,1.0690189012525049,1.1149918800836847,0.9428354008127658,0.9034056105302004,1.0126876676522172,0.9655473384881739
7,1996,0.890983249209224,0.915484560952452,0.996721696717017,0.9181718349283594,0.9687768730329166,0.9913236857683289,0.9609436523378675,1.0027850602544206,0.917297467994275,0.23240511276372355,1.045427487950652,1.0715042446587681,0.9203636487309536,0.9169464218636633,0.9931391106100437,0.9747687442755966
8,1997,0.888874130973162,0.9122951158241498,0.9966222271844798,0.8939757274697924,0.9679379988686387,0.9748734411471309,0.9501829951288229,0.9903351752196846,0.9035632682388192,0.3452405117328015,1.0302790664574069,1.0475312310183387,0.9170425640756827,0.9273130275809435,0.997373362322308,0.9858321528012431
9,1998,0.8888835917904334,0.9250065996056236,0.9965290680726535,0.8928288655482786,0.9669805869760829,0.9748117390940869,0.9409014291864802,0.9801434130578661,0.961015288777049,1.0296082115801055,1.019873099184251,1.032281951593978,0.9308021090004438,0.9354589453325975,0.9805985319821563,0.9906233052140881
10,1999,0.8916838984339454,0.915550702175651,0.9964588257212394,0.8919120024745862,0.966190215565908,0.9786888574483047,0.935231486718566,0.9745930650793396,0.9867450086781396,1.02490457954722,1.012502678342227,1.0218636196125077,0.9249097542771739,0.9415063577711171,0.9817552165507534,0.9939772087413047
11,2000,0.8908824692261775,0.9071929333161428,0.9964053868682193,0.9077159667360105,0.9654502015461254,0.996452558098519,0.9270480392361093,0.971097070316091,0.9756266291154437,1.0212101195167087,1.007263731477631,1.0145165630505135,0.9205646325406576,0.9498148446520087,0.982077284693616,1.0086983698828325
12,2001,0.8861886118646854,0.913452494869389,0.9963526198016296,0.9461223662327992,0.9645795099822108,0.9981566757025155,0.9232304844131536,0.9675049276435113,0.9591839602338234,1.0175935160995901,1.0035290271943607,1.009285668227752,0.9298412146855984,0.9522941658268569,0.990187905421038,1.0058571027215373
13,2002,0.8810631880590537,0.9243174676254629,0.9963040462644036,0.9985746755690983,0.9635422806744374,0.9958896766411848,0.9210609182270686,0.9648303922301672,0.9468905182985272,1.0027049922964881,0.9971295430967425,1.0055856403516732,0.9223231717766388,0.9536081309202636,0.9921373127780632,1.0047472667880963
