t_index,Freedom_of_expression,Freedom_of_association,Suffrage,Clean_elections,Elected_officials,Individual_liberty,Judicial_constraints,Legislative_constraints,Civil_participation,Direct_vote,Local_government,Regional_government,Deliberative,Equal_access,Equal_distribution,Equal_protection
2,0.057983711671581235,0.06966619224395483,0.16140481586794314,0.023558646923985502,0.16140481586793182,0.0449099215862711,0.02342968447597437,0.004609882946019312,0.022335844039069942,0.0,0.1588326687213376,0.15851260297243852,0.05542576814946302,0.021503156594151966,0.02901671217759924,0.012384430116850212
3,0.04095073156640354,0.13455573546721997,0.1676536515178888,1.1903850503647841,0.1676536515180134,0.06766525569846221,0.02433677170809582,0.0047883559410365605,0.02320058291153476,0.0,0.1649819229280143,0.16464946573758477,0.05757159331716971,0.022335657723706197,0.030140102855254133,0.012863897027374104
4,-0.11685426874393479,0.10986621158374445,0.16727471108625075,0.49659892488602947,0.1672747110861623,-0.0336842399006082,0.024281764336002973,0.004777533023351481,0.023148143618961108,0.0,0.16460902129038973,0.16427731553813635,0.05744146668863059,0.022285173384541748,0.030071978460349078,0.012834821306817323
5,0.43067872658243733,0.14881661147707156,0.1693540842291227,0.45311532789173925,0.16935408422910905,-0.02705574882751275,-0.0553596451254988,-0.026056602393298222,-0.01854814177776514,0.0,0.1666552575429985,0.16631942839415334,0.06188149510174394,0.01966121088818894,0.010226317969134409,0.012994369528798044
6,0.3959754037807228,0.13159499115338397,0.18708987559398899,0.4602499638263824,0.1870898755940506,-0.012425479989225248,0.1595696517152574,-0.019529671843658558,0.1093673171915448,0.0,0.1841084113378971,0.183737412113422,0.04285943243454581,0.02020053338193309,0.03529073171553455,0.011791751131073622
7,0.38251519323244754,0.11806762033016073,0.20478445656544916,0.47826806770706554,0.20478445656553462,0.0020870791067159173,0.14158934453284175,0.02315974537916465,-0.04999705238465974,0.0,0.20152101146427753,0.2011149238884345,-0.06716684926686192,0.020110862845781573,-0.051647240262755884,0.004079704186801598
8,0.4911397925019017,0.27015122080060094,0.20418234792321874,0.8856719720120084,0.20418234792305595,0.08510407567387379,0.14094433607674614,-0.049460384521913744,-0.004357366048290106,0.0,0.20092849802710863,0.2005236044311289,-0.06280166222950843,0.020202448222252353,-0.05497577794982773,0.004283800813902809
9,0.5019429376632414,0.25174977670531634,0.20355588467577745,0.8987735857885001,0.203555884675751,0.10289165573067928,0.47394541346776764,-0.41634598281790863,-0.11343514354098452,0.0,0.20031201809765728,0.19990836677695123,-0.10845687286240852,0.020654676151883242,-0.054831919848949584,0.001479227325118398
10,0.4607661429803111,-0.00787899982757193,0.2105142291527555,0.7597260071072085,0.21051422915250517,0.10532455357299043,0.5002112258576834,-0.2413271464427202,-0.11884991773520544,0.0,0.20715947439762222,0.2067420246806266,-0.09530950092642772,0.02173783261606131,-0.04819944760114451,-0.00011381172645569512
11,0.48318286695934826,0.11886187124810475,0.20933692024852513,0.7520606599501636,0.20933692024856335,0.10341347757253783,-0.17185263425880637,-0.8059974050730616,1.0224986085523904,0.0,0.2060009270871476,0.20558581197570078,-0.3126688186460053,0.02166515588859938,-0.3281433993244843,0.028787873692625723
12,0.6200756228852826,0.11322239067825701,0.21059395348490892,0.8783567913099989,0.2105939534847651,0.12329051557772207,-0.1478699480657915,-0.61295985548284,1.0499364795264352,0.0,0.20723792824253667,0.2068203204330868,0.010383421584431413,0.11707688496613126,-0.28820581865854045,0.03766002818299677
13,0.49217906607460227,0.12800785814996968,0.21231269503454836,0.8775777783985269,0.2123126950344099,0.1164258133721255,-0.0857240578205408,-0.5622406892523807,0.8367608957176688,0.0,0.20892927992698518,0.20850826385170398,0.10168155313827189,0.06563169138753372,-0.29212285212045597,0.036086720649948646
14,0.32333096707537295,0.1287091752733648,0.21293341753372602,0.9117146572539758,0.21293341753365205,0.10284947884560457,-0.053210761347410256,-0.5031196884786082,0.8101356404617044,0.0,0.20954011059231523,0.20911786362470666,0.0896086568324709,0.038220354621276965,-0.22142290067649847,0.03555842393669056
15,0.24338046585604853,0.1292144038824123,0.21645122872249933,0.9376803284878829,0.21645122872247807,0.09987013578478181,-0.054062930963957236,-0.395600424395008,0.7879959085321829,0.0,0.21300186194134899,0.21257263915534833,0.13760765336003883,0.046806526375484145,-0.15348906220465697,0.033470921572974086
16,0.1618890894356799,0.13968952305119606,0.21571984400854402,0.8254956797994231,0.21571984400830851,0.09453149805132557,-0.05269924418580819,-0.1922785443354398,0.7293733436003391,0.0,0.2122821325738576,0.2118543601241872,0.19201347982792974,0.028264941386417452,-0.09039052173971233,0.030749632555433462
17,0.10895536331268738,0.16737660037484944,0.2143130931155091,0.550699931303453,0.21431309311575356,0.1237259714798621,-0.03605637087467319,-0.06428894116261259,0.6288694646326591,0.0,0.21089779966390013,0.21047281680016053,0.21028604290751354,0.046604313937794274,-0.04546423261126179,0.028095989622902922
18,0.0737599008804978,0.1814242097614227,0.21218906266847753,0.9802426880649484,0.21218906266866427,0.14252728064470532,0.019662760348232923,0.10117026039373168,0.6215543265216404,0.0,0.20880761776662285,0.2083868468547798,0.34849074496801496,0.1281523643981742,-0.015302131665214018,0.024712761470383024
19,0.046774391970625266,0.17423389087033,0.2101531195460035,0.5572568606829166,0.21015311954591143,0.13379049528082307,-0.0014666416954763086,0.24880916931841526,0.5581396202121818,0.0,0.20680411943276528,0.20638738579822485,0.2975519924051153,0.12574463514200043,-9.414854927435837e-05,0.021559314070863197
20,0.05518932379661484,0.16039579525209113,0.20763277302668068,0.5310664831198639,0.20763277302652547,0.1214624898608005,-0.00590799564646303,0.3335398725394103,0.43493383390569723,0.0,0.20432393715598687,0.20391220136737037,0.3170946984465065,0.10207857180419296,0.010054166417422903,0.018674330599166903
21,0.0643124877764028,0.1148228032408624,0.20658683648531187,0.5329766171378056,0.2065868364853484,0.12395921976604479,-0.059290473388424074,0.37641824250289807,0.3966611214226056,0.0,0.20329466865866688,0.20288500696236708,0.31456955023450967,0.10057394185884305,0.009894165604735477,0.01648784058587435
22,0.11577777406051147,0.09866105887607911,0.20427553583537253,0.5265897847002946,0.2042755358353125,0.13289760864640116,-0.04251399544767613,0.41381229736678565,0.36350824942057397,0.0,0.201020200896798,0.20061512250843766,0.3021730915357498,0.08815843457132143,0.3317521868586288,0.012818937811687145
23,0.07368790893531958,0.08385764676055496,0.20022045498719315,0.5279281549677446,0.20022045498735355,0.1095744284464841,-0.0536989868773233,0.38555523124539914,0.29362290780408173,0.0,0.19702974181580998,0.19663270465496846,0.2908664379881779,0.07841931386389885,0.36051418174017963,0.013717663472275366
24,-0.034567216524838296,0.14116104732046417,0.19726437595511168,0.5294825305138612,0.19726437595509277,0.12817514960534585,0.11579449434787743,0.3456496203165358,0.010717067005393838,0.0,0.2244332817588654,0.25277940576688157,0.23195799595887892,0.06263565965741127,0.22608323716426978,0.01082031001404781
