Bandwidth,CRPS,Current
0.05,0.016159497014193183,
0.1,0.01621833915132685,
0.15,0.01624319022796645,
0.2,0.016260821887300332,← current
0.3,0.016285846331345936,
0.4,0.01630203645826892,
